County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,People Vaccinated with Booster Dose,"Population
5+","Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,
Sabine,4/5N,"3,900","9,365","4,299","3,787","1,665","10,097","9,359","8,871","3,267",572,186,"3,077",0,,,,,,,,,,
San Augustine,4/5N,"3,700","8,733","4,023","3,489","1,430","7,830","7,135","6,811","2,227",415,337,"2,590",0,,,,,,,,,,
San Jacinto,4/5N,"4,500","22,960","10,998","9,661","3,545","27,419","24,882","23,444","6,488",132,190,"9,275",40,,,,,,,,,,
San Patricio,11,"20,170","90,539","43,460","37,110","13,198","61,710","54,942","51,116","10,209",975,347,"19,063","2,379",,,,,,,,,,
San Saba,7,"2,100","5,296","2,635","2,243",648,"5,775","5,279","5,000","1,465",33,72,"1,828",197,,,,,,,,,,
Schleicher,44814,"1,800","3,100","1,405","1,283",502,"2,712","2,399","2,218",559,65,34,793,0,,,,,,,,,,
Scurry,44595,"7,395","18,847","9,109","7,972","2,792","15,703","14,012","13,000","2,566",399,128,"5,165",0,,,,,,,,,,
Shackelford,44595,"1,700","2,902","1,330","1,187",457,"3,087","2,804","2,612",691,52,0,937,119,,,,,,,,,,
Shelby,4/5N,"10,050","22,294","10,979","9,348","3,000","23,343","20,862","19,449","4,532",540,369,"7,876",948,,,,,,,,,,
Sherman,1,"1,800","2,355","1,260",989,202,"2,783","2,478","2,294",462,24,42,868,0,,,,,,,,,,
Smith,4/5N,"209,370","262,573","120,976","107,141","40,305","216,694","194,878","182,283","39,337","19,690","3,030","62,467","7,172",,,,,,,,,,
Somervell,44595,"5,100","9,514","4,381","3,970","1,622","8,648","7,823","7,386","1,770",457,220,"2,741",479,,,,,,,,,,
Starr,11,"43,780","160,517","84,611","63,347","19,593","57,720","49,864","45,765","7,370","4,479","1,999","21,117","3,311",,,,,,,,,,
Stephens,44595,"3,400","7,518","3,702","3,301","1,144","8,882","8,039","7,542","1,890",168,92,"2,928",22,,,,,,,,,,
Sterling,44814,700,"1,215",575,500,151,"1,140","1,042",975,186,10,44,375,0,,,,,,,,,,
Stonewall,44595,"1,700","1,367",636,575,227,"1,262","1,164","1,095",361,63,53,369,0,,,,,,,,,,
Sutton,44814,"2,400","4,038","1,841","1,630",620,"3,494","3,139","2,992",723,91,0,"1,051",0,,,,,,,,,,
Swisher,1,"2,600","6,725","3,308","2,950","1,183","6,938","6,211","5,764","1,305",114,61,"2,381",323,,,,,,,,,,
Tarrant,44595,"1,449,310","2,888,578","1,336,387","1,177,472","438,058","1,943,431","1,738,948","1,617,160","244,511","86,106","18,386","590,239","56,668",,,,,,,,,,
Taylor,44595,"94,735","153,222","72,208","62,764","23,287","128,300","115,070","107,257","20,131","11,065","2,465","36,680","4,185",,,,,,,,,,
Terrell,44814,0,"1,037",480,397,183,745,678,639,255,10,0,207,0,,,,,,,,,,
Terry,1,"8,590","11,956","5,796","5,050","1,835","11,386","10,047","9,307","1,858",345,178,"3,985",416,,,,,,,,,,
Throckmorton,44595,"2,100","1,496",682,598,244,"1,430","1,314","1,247",445,64,0,399,0,,,,,,,,,,
Titus,4/5N,"25,200","32,827","15,925","13,436","4,374","30,173","26,439","24,323","4,845","1,811",633,"9,797","1,297",,,,,,,,,,
Tom Green,44814,"95,140","137,335","62,458","56,067","22,203","110,409","99,574","93,752","18,625","6,702","1,601","33,131","3,815",,,,,,,,,,
Travis,7,"2,165,090","2,221,898","1,015,315","877,474","393,790","1,207,346","1,092,827","1,032,386","129,553","51,820","8,264","311,477","32,884",,,,,,,,,,
Trinity,4/5N,"5,050","14,928","7,054","6,144","2,449","13,766","12,733","12,104","3,956",347,241,"4,400",427,,,,,,,,,,
Tyler,4/5N,"9,300","19,592","8,857","7,976","3,351","20,812","18,949","17,963","4,895",476,238,"6,926",722,,,,,,,,,,
Upshur,4/5N,"5,300","34,366","16,170","14,250","5,258","38,716","35,243","33,011","7,825",714,567,"12,366","1,404",,,,,,,,,,
Upton,44814,"3,200","3,828","1,735","1,512",621,"3,323","2,953","2,730",537,170,30,"1,105",0,,,,,,,,,,
Uvalde,8,"31,145","36,039","16,859","14,339","5,804","24,519","21,980","20,379","4,508","1,498",515,"8,253",985,,,,,,,,,,
Val Verde,8,"43,030","85,339","45,159","33,741","9,631","45,230","39,580","36,546","7,003","2,610",490,"14,417",104,,,,,,,,,,
Van Zandt,4/5N,"13,100","50,259","23,547","20,959","8,192","52,892","48,037","45,216","11,495","1,280",711,"16,861","1,783",,,,,,,,,,
Victoria,8,"60,590","110,255","50,366","44,906","17,281","84,940","76,348","71,388","15,242","5,624","1,030","27,119",241,,,,,,,,,,
Walker,6/5S,"36,770","84,511","40,169","35,224","12,455","71,652","66,420","63,471","10,049","1,526",400,"24,628","1,438",,,,,,,,,,
Waller,6/5S,"15,640","55,913","27,003","23,459","7,405","51,149","46,544","43,350","6,546","1,182",466,"16,819","1,813",,,,,,,,,,
Ward,44814,"4,940","10,278","5,107","4,287","1,272","10,987","9,651","8,921","1,629",137,92,"3,551",0,,,,,,,,,,
Washington,7,"63,100","45,156","20,294","18,258","7,743","33,973","30,940","29,086","7,889","2,581","1,018","10,662",72,,,,,,,,,,
Webb,11,"206,550","692,769","403,574","259,397","66,017","249,552","215,919","196,916","26,921","12,073","1,646","88,397","11,668",,,,,,,,,,
Wharton,6/5S,"18,490","51,864","25,019","21,540","7,439","38,527","34,591","32,110","7,239","1,438",615,"12,933","1,328",,,,,,,,,,
Wheeler,1,"3,000","4,865","2,336","2,035",790,"4,742","4,211","3,915","1,002",200,114,"1,459",243,,,,,,,,,,
Wichita,44595,"76,520","141,937","66,493","59,038","23,433","123,412","111,604","105,631","19,854","8,664","2,030","42,031","3,508",,,,,,,,,,
Wilbarger,44595,"10,600","14,992","7,132","6,510","2,432","12,034","10,971","10,361","2,421",457,304,"4,240",27,,,,,,,,,,
Willacy,11,"8,300","34,233","16,956","14,234","5,025","20,211","18,065","16,897","3,057",325,557,"7,612",775,,,,,,,,,,
Williamson,7,"449,190","993,006","452,122","398,248","172,487","551,668","493,204","458,433","73,202","14,404","4,639","146,388","19,090",,,,,,,,,,
Wilson,8,"23,300","61,924","29,388","25,947","9,634","47,550","43,258","40,488","8,411","1,224",615,"13,986","1,510",,,,,,,,,,
Winkler,44814,"2,000","7,116","3,466","3,017",993,"7,531","6,466","5,954",964,102,0,"2,445",0,,,,,,,,,,
Wise,44595,"29,680","63,092","30,398","26,904","8,720","64,679","58,448","54,722","10,598","3,589",552,"22,459","1,533",,,,,,,,,,
Wood,4/5N,"6,700","47,628","21,802","19,597","8,603","43,522","39,990","38,005","12,527","1,046",880,"13,019","1,130",,,,,,,,,,
Yoakum,1,"3,400","8,063","4,075","3,458","1,089","7,851","6,743","6,135","1,033",225,60,"2,367",0,,,,,,,,,,
Young,44595,"8,500","17,261","8,267","7,416","2,589","16,969","15,127","14,219","3,774",862,431,"5,296",626,,,,,,,,,,
Zapata,11,"8,400","19,862","9,754","8,386","2,574","12,905","10,966","9,981","1,866",195,202,"4,642",0,,,,,,,,,,
Zavala,8,"2,200","14,891","7,001","5,991","2,057","11,189","9,644","8,840","1,723",25,60,"4,035",458,,,,,,,,,,
Other, ,,"901,944","576,821","340,794","73,477",,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
