County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,People Vaccinated with Booster Dose,"Population
5+","Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,
Collin,44595,"763,700","1,716,554","783,044","690,622","279,255","962,905","865,275","801,716","116,575","38,139","7,817","236,374","34,589",,,,,,,,,,
Collingsworth,1,"2,200","2,313","1,103",927,438,"2,762","2,432","2,263",555,80,92,847,0,,,,,,,,,,
Colorado,6/5S,"12,600","26,463","12,507","11,094","4,580","20,298","18,273","17,107","4,850",853,477,"5,957",613,,,,,,,,,,
Comal,8,"94,530","229,706","107,315","93,871","37,885","146,783","133,278","125,307","28,528","5,457","1,845","38,712","4,242",,,,,,,,,,
Comanche,44595,"6,890","14,664","6,812","6,120","2,503","12,904","11,640","10,944","3,330",330,292,"3,738",455,,,,,,,,,,
Concho,44814,"2,000","3,235","1,559","1,289",552,"2,529","2,382","2,288",689,76,66,815,0,,,,,,,,,,
Cooke,44595,"18,500","37,717","18,409","15,358","5,355","38,180","34,774","32,675","7,804",948,552,"11,640","1,051",,,,,,,,,,
Coryell,7,"38,595","75,449","35,844","31,021","10,970","72,152","64,702","60,428","8,040","1,178",610,"22,789","2,014",,,,,,,,,,
Cottle,44595,0,"1,235",589,521,210,"1,285","1,181","1,123",339,5,0,446,0,,,,,,,,,,
Crane,44814,"3,550","4,406","2,239","1,729",482,"4,406","3,834","3,554",594,71,110,"1,353",0,,,,,,,,,,
Crockett,44814,0,"4,061","1,845","1,592",673,"3,247","2,885","2,694",612,31,56,"1,031",0,,,,,,,,,,
Crosby,1,"4,050","6,269","2,834","2,539","1,025","5,360","4,779","4,421","1,085",98,115,"1,771",284,,,,,,,,,,
Culberson,44814,"2,000","2,924","1,318","1,148",478,"2,001","1,824","1,746",480,67,0,722,0,,,,,,,,,,
Dallam,1,"28,810","7,835","4,085","3,022",846,"6,531","5,706","5,217",857,40,0,"2,067",0,,,,,,,,,,
Dallas,44595,"1,962,805","3,828,174","1,809,336","1,553,625","559,978","2,459,647","2,181,224","2,028,105","292,117","142,713","21,399","730,851","83,452",,,,,,,,,,
